state,composition_tvd,landon_nonresponse_share,landon_error
Alabama,0.42585822400109946,0.1758169934640523,0.1035587285813395
Arizona,0.5194977873829371,0.10312366281557553,0.2637269527941993
Arkansas,0.5248839617004127,0.15308370044052863,0.08446189276582108
California,0.53911008975763,0.08476696903346888,0.21549167130076313
Colorado,0.578133686412222,0.07649382406420466,0.23345435738567627
Connecticut,0.6050535103677114,0.08247422680412371,0.26059214572313116
Delaware,0.5588029177733036,0.08156271418779987,0.13669836198284968
Florida,0.4689213481090316,0.14736323311976343,0.1748608250733462
Georgia,0.3452368596634295,0.22188449848024316,0.10774078434446357
Idaho,0.5864919239214412,0.07281686285245004,0.23798068690499047
Illinois,0.5039085490665999,0.09455217888513102,0.20184440217618016
Indiana,0.5889857259297929,0.07160378460460226,0.19100543635659178
Iowa,0.5520693365938358,0.08543817263342851,0.1915717341469293
Kansas,0.5229551176560172,0.09720967013104383,0.17485712522670227
Kentucky,0.6025146505953857,0.10624766180321736,0.040607055961999816
Louisiana,0.3399428539489374,0.15355398806294085,0.20649327619131047
Maine,0.6244162841929669,0.12740589337421224,0.11553209265274234
Maryland,0.48169771162491454,0.16675256256084292,0.11508584472167088
Massachusetts,0.609762648772664,0.07336847762695971,0.32192778609110073
Michigan,0.5495567545960727,0.0772757294378181,0.2594799438992222
Minnesota,0.5548076305528384,0.07496261621481048,0.26337442922183774
Mississippi,0.423178376365442,0.2169811320754717,0.09493540016189879
Missouri,0.5839840144468192,0.10061572907920514,0.18076879050251043
Montana,0.5576952464082013,0.06748329621380847,0.27280045527581165
Nebraska,0.54604476945987,0.08183807439824946,0.192087966283864
Nevada,0.488732754615734,0.07278165503489531,0.24034078446128032
New Hampshire,0.6400229067500746,0.06625393722167916,0.2798054388364523
New Jersey,0.5763863582744203,0.0753787685123643,0.2806023570610872
New Mexico,0.513075256873091,0.10461538461538461,0.12643228114781047
New York,0.5751444251549425,0.08495008011832861,0.13973323941204446
North Carolina,0.5750267876258265,0.1451006052674628,0.0064562616525315475
North Dakota,0.4664575591283976,0.06823529411764706,0.22848838338482574
Ohio,0.5679497118297239,0.07429136284276472,0.21307674963473833
Oklahoma,0.5283589392739942,0.12165904999307575,0.1607797021190731
Oregon,0.5572150541866394,0.0904060611219886,0.20245057909089464
Pennsylvania,0.551020527060188,0.099910988697244,0.17690196837318128
Rhode Island,0.6191365123549947,0.08941447937698298,0.31807026590148785
South Carolina,0.30963127833330606,0.297514033680834,0.13504669574457634
South Dakota,0.49347351040587295,0.07296946834846163,0.21273728523387775
Tennessee,0.5475217796976453,0.17039360518061317,0.023905364385546024
Texas,0.3932395564165135,0.14464506876996283,0.16641673302178914
Utah,0.5397644179807702,0.07081386771576101,0.13281710955188547
Vermont,0.6143401943705208,0.07844220411545366,0.1805592510122459
Virginia,0.5194476351408749,0.15690110535067983,0.08352216719179639
Washington,0.5477057202540975,0.07636874122601778,0.27233609221928673
West Virginia,0.617358795966815,0.07071742313323573,0.17869479216760176
Wisconsin,0.5262843887944042,0.07530476979524205,0.29753885853679024
Wyoming,0.5666051537590274,0.06730007917656373,0.24013989398409508
