state,electoral_vote,landon,landon_1932_rep,landon_1932_dem,landon_1932_soc,landon_1932_others,landon_1932_did_not_vote,landon_1932_vote_not_indicated,roosevelt,roosevelt_1932_rep,roosevelt_1932_dem,roosevelt_1932_soc,roosevelt_1932_others,roosevelt_1932_did_not_vote,roosevelt_1932_vote_not_indicated,lemke,lemke_1932_rep,lemke_1932_dem,lemke_1932_soc,lemke_1932_others,lemke_1932_did_not_vote,lemke_1932_vote_not_indicated,thomas,browder,colvin,aiken,others_minor,minor_total,grand_total
Alabama,11,3060,1218,1298,3,3,412,126,10082,371,8530,50,1,736,394,68,5,49,4,0,4,6,33,3,27,0,0,63,13273
Arizona,3,2337,1431,647,18,0,129,112,1975,248,1555,33,0,70,69,104,22,52,8,0,10,12,22,24,14,0,0,60,4476
Arkansas,9,2724,1338,953,7,9,274,143,7608,228,6655,16,8,373,328,138,14,98,4,3,9,10,37,5,21,2,5,70,10540
California,22,89516,65360,16200,315,53,3519,4069,77245,15165,53520,1816,63,3578,3103,4977,1620,2560,117,25,163,492,728,967,398,44,60,2197,173935
Colorado,6,15949,11872,2714,131,12,637,583,10025,1747,7256,284,13,439,286,579,136,333,29,2,26,53,122,49,41,10,11,233,26786
Connecticut,8,28809,22939,3376,111,7,1230,1146,13413,2584,9113,408,6,788,514,1489,245,1006,53,3,70,112,258,101,39,31,11,440,44151
Delaware,3,2918,2343,328,9,0,134,104,2048,503,1345,34,0,96,70,35,6,19,3,0,2,5,16,2,8,0,1,27,5028
Florida,7,6087,3121,2051,13,5,594,303,8620,635,6924,41,0,614,406,195,37,116,6,2,12,22,58,22,31,6,2,119,15021
Georgia,12,3948,1239,1817,5,11,708,168,12915,379,10377,42,9,1569,539,35,3,23,1,0,6,2,45,12,27,0,17,101,16999
Idaho,4,3653,2672,698,9,8,103,163,2611,398,1989,30,8,89,97,224,69,109,8,11,9,18,34,3,17,1,3,58,6546
Illinois,29,123297,85112,25885,573,69,6506,5152,79035,14793,54612,1542,57,4790,3241,6415,1172,4219,169,17,304,534,807,891,199,52,38,1987,210734
Indiana,14,42805,31913,7644,134,49,1290,1775,26663,4513,20247,302,22,719,860,2166,476,1352,64,11,73,190,215,69,158,13,12,467,72101
Iowa,11,31871,22823,6164,135,26,1272,1451,18614,3190,13611,258,14,829,712,2829,560,1831,86,11,88,253,177,47,107,13,5,349,53663
Kansas,9,35408,25315,6489,147,15,1466,1976,20254,4182,14121,257,11,846,837,902,226,482,52,1,43,98,156,38,107,4,3,308,56872
Kentucky,11,13365,8957,2939,35,14,793,627,16592,1586,13594,95,6,703,608,732,69,554,24,0,31,54,77,23,61,4,7,172,30861
Louisiana,10,3686,1366,1742,9,3,384,182,7902,445,6401,39,0,697,320,841,35,667,23,2,55,59,85,28,37,0,6,156,12585
Maine,5,11742,8619,1567,25,35,713,783,5337,635,3820,41,1,289,551,418,64,277,3,2,42,30,53,11,8,2,5,79,17576
Maryland,8,17463,9754,4685,110,2,1479,1433,18341,1891,13540,328,5,1366,1211,614,56,422,22,1,34,79,132,80,30,11,5,258,36676
Massachusetts,17,87449,70567,10105,330,31,3213,3203,25965,5141,17499,744,16,1635,930,5415,1002,3670,133,3,236,371,544,310,72,42,32,1000,119829
Michigan,19,51478,38526,8665,287,22,2113,1865,25686,5114,17402,748,26,1472,924,3376,680,2145,128,4,130,289,527,151,118,20,4,820,81360
Minnesota,11,30762,22386,5958,109,3,972,1334,20733,3699,14855,511,22,861,785,5426,804,3893,115,14,157,443,375,163,185,29,12,764,57685
Mississippi,9,848,269,394,1,0,137,47,6080,88,5396,8,1,298,289,43,5,32,1,0,2,3,18,6,16,0,1,41,7012
Missouri,15,50022,33551,11149,244,45,2975,2058,38267,4463,30608,455,15,1485,1241,2368,322,1680,73,4,122,167,468,97,103,16,13,697,91354
Montana,4,4490,3336,828,23,0,139,164,3562,660,2517,94,1,151,139,212,57,108,12,1,6,28,58,10,18,0,2,88,8352
Nebraska,7,18280,12436,4241,100,7,685,811,11770,1677,9045,177,2,418,451,862,157,594,31,2,18,60,79,34,42,1,4,160,31072
Nevada,3,1003,658,272,0,0,36,37,955,163,716,2,0,42,32,36,9,22,0,0,4,1,9,5,3,1,1,19,2013
New Hampshire,4,9207,7504,1072,21,0,253,357,2737,479,1984,51,1,114,108,372,84,238,8,0,18,24,56,17,13,0,0,86,12402
New Jersey,16,58677,45361,8625,251,17,2383,2040,27631,5495,18642,1032,14,1548,900,2444,442,1633,89,1,104,175,601,367,87,23,24,1102,89854
New Mexico,3,1625,1003,444,7,1,80,90,1662,212,1290,24,0,70,66,54,13,33,1,2,2,3,12,3,7,0,0,22,3363
New York,47,162260,114574,33052,805,45,7125,6659,139277,18241,99938,4101,141,10604,6252,14656,2106,10414,303,20,670,1143,2404,4372,364,138,164,7442,323635
North Carolina,13,6113,3532,1656,33,5,580,307,16324,820,13778,119,6,946,655,35,5,20,3,0,4,3,56,11,48,2,4,121,22593
North Dakota,4,4250,2787,1157,15,1,108,182,3666,694,2679,30,2,97,164,1111,192,743,32,5,29,110,41,13,32,0,1,87,9114
