state,actual_rep_share_1932,poll_rep_share_1932
Alabama,0.14293958818558444,0.17484549584578235
Arizona,0.3129463976145898,0.3439337252805986
Arkansas,0.13054125070505207,0.18618648743542157
California,0.39036784912380373,0.3547727016552071
Colorado,0.4304644331137314,0.4551687361925802
Connecticut,0.5059538428073228,0.6105459829769566
Delaware,0.5123617494972709,0.48356997971602433
Florida,0.2510917426863223,0.2826668287346542
Georgia,0.07820663750438026,0.13151723385689354
Idaho,0.39479590482929416,0.38881649093709275
Illinois,0.4321960990147991,0.41908804721006504
Indiana,0.4399475584672416,0.42935362677709943
Iowa,0.4093359487659662,0.41492685698054255
Kansas,0.45172172231686103,0.4473534109057723
Kentucky,0.4047165458479017,0.34565102793885083
Louisiana,0.07027595230196332,0.1736791879934068
Maine,0.5638225879582321,0.581060529250735
Maryland,0.36947791164658633,0.32289180838503856
Massachusetts,0.4794454777709034,0.6365876419456649
Michigan,0.45910694629044285,0.41555316001905285
Minnesota,0.37725145501754315,0.38435610658684044
Mississippi,0.0356386052783664,0.09608703602121046
Missouri,0.3551388292322776,0.3553427373514138
Montana,0.3801932178960285,0.4123903584501692
Nebraska,0.35907856901897156,0.3524739623574497
Nevada,0.3059135891865798,0.31762573629361124
New Hampshire,0.507217009529683,0.6001901798063624
New Jersey,0.490204829940574,0.5458340173064747
New Mexico,0.36312673301809706,0.39637952559300876
New York,0.43326554766660363,0.48767562822862365
North Carolina,0.2951424402544234,0.2613862944695141
North Dakota,0.2869479693909372,0.357624633431085
Ohio,0.48529545506667815,0.42575017628163275
Oklahoma,0.267039721386878,0.318783542039356
Oregon,0.38874789219468975,0.3565293529019346
Pennsylvania,0.5286584265870591,0.42739239064538054
Rhode Island,0.44016496735021193,0.5569110803672495
South Carolina,0.018959980829139706,0.09276857109746205
South Dakota,0.350910949431784,0.392926002260488
Tennessee,0.3281817593371739,0.29883907652618
Texas,0.11413049177042713,0.17051476154428463
Utah,0.4207249001463693,0.3644184974650484
Vermont,0.5839852125693161,0.5996846956099927
Virginia,0.305286496648684,0.2821691755369402
Washington,0.37131721554355274,0.35537084670819075
West Virginia,0.4494513185342221,0.38288288288288286
Wisconsin,0.32956515228626043,0.32668999984716257
Wyoming,0.42130639787979096,0.4303871724677356
