state,electoral_vote,landon_share_two_party,corrected_landon_share,actual_landon_share,original_error_pp,corrected_error_pp,absolute_error_reduction_pp,original_winner,corrected_winner,actual_winner
Alabama,11,0.2328412722568863,0.2225798619064492,0.1292825436755468,10.35587285813395,9.32973182309024,1.0261410350437092,Roosevelt,Roosevelt,Roosevelt
Arizona,3,0.5419758812615956,0.521102332781695,0.2782489284673963,26.37269527941993,24.285340431429876,2.0873548479900528,Landon,Landon,Roosevelt
Arkansas,9,0.2636469221835075,0.25232799901287295,0.1791850294176864,8.446189276582109,7.314296959518654,1.1318923170634543,Roosevelt,Roosevelt,Roosevelt
California,22,0.5367921756285943,0.5160965761670098,0.3213005043278311,21.54916713007632,19.479607183917867,2.069559946158453,Landon,Landon,Roosevelt
Colorado,6,0.614037114037114,0.5906898090326518,0.3805827566514377,23.345435738567634,21.010705238121407,2.334730500446227,Landon,Landon,Roosevelt
Connecticut,8,0.682322012221117,0.6566305867248792,0.4217298664979858,26.05921457231312,23.49007202268934,2.5691425496237805,Landon,Landon,Roosevelt
Delaware,3,0.5875956504228755,0.5651560421176697,0.4508972884400258,13.669836198284974,11.425875367764387,2.243960830520587,Landon,Landon,Roosevelt
Florida,7,0.4138845447745971,0.39740818417464335,0.2390237197012509,17.48608250733462,15.838446447339246,1.6476360599953725,Roosevelt,Roosevelt,Roosevelt
Georgia,12,0.2341220423412204,0.22381666503059466,0.1263812579967568,10.774078434446357,9.743540703383784,1.030537731062573,Roosevelt,Roosevelt,Roosevelt
Idaho,4,0.5831736909323116,0.5608858820165945,0.3451930040273211,23.79806869049905,21.569287798927338,2.228780891571713,Landon,Landon,Roosevelt
Illinois,29,0.6093796334736967,0.586192212952028,0.4075352312975165,20.18444021761802,17.865698165451143,2.318742052166879,Landon,Landon,Roosevelt
Indiana,14,0.6161829907295445,0.592762020922742,0.4251775543729527,19.100543635659186,16.758446654978933,2.342096980680253,Landon,Landon,Roosevelt
Iowa,11,0.6312964246805982,0.6073566328330818,0.4397246905336689,19.15717341469293,16.76319422994129,2.3939791847516396,Landon,Landon,Roosevelt
Kansas,9,0.636125184147174,0.6120196280631064,0.4612680589204717,17.485712522670234,15.075156914263472,2.410555608406762,Landon,Landon,Roosevelt
Kentucky,11,0.4461394665687485,0.42855584176910966,0.4055324106067486,4.060705596199988,2.302343116236105,1.7583624799638824,Roosevelt,Roosevelt,Roosevelt
Louisiana,10,0.3180876769071453,0.30489988240288834,0.1115944007158348,20.649327619131046,19.330548168705352,1.3187794504256942,Roosevelt,Roosevelt,Roosevelt
Maine,5,0.6875109783945196,0.6616414232933224,0.5719788857417772,11.553209265274234,8.966253755154519,2.586955510119715,Landon,Landon,Landon
Maryland,8,0.4877388001340632,0.4687271311716887,0.3726529554123923,11.508584472167088,9.607417575929638,1.9011668962374504,Roosevelt,Roosevelt,Roosevelt
Massachusetts,17,0.7710600102280142,0.7423223392945115,0.4491322241369134,32.19277860911008,29.31901151575981,2.873767093350267,Landon,Landon,Roosevelt
Michigan,19,0.6671245658597273,0.6419548464271406,0.4076446219605051,25.947994389922226,23.43102244666355,2.5169719432586746,Landon,Landon,Roosevelt
Minnesota,11,0.5973783862510923,0.5746029509602657,0.3340039570292545,26.33744292218378,24.05989939310112,2.27754352908266,Landon,Landon,Roosevelt
Mississippi,9,0.1224018475750577,0.11593166083893998,0.0274664474131589,9.49354001618988,8.846521342578107,0.6470186736117736,Roosevelt,Roosevelt,Roosevelt
Missouri,15,0.5665711470285086,0.544853279116081,0.3858023565259982,18.076879050251044,15.905092259008274,2.17178679124277,Landon,Landon,Roosevelt
Montana,4,0.557625434674615,0.5362146599584866,0.2848249793988033,27.28004552758117,25.13896805596833,2.1410774716128387,Landon,Landon,Roosevelt
Nebraska,7,0.6083194675540765,0.5851684409748893,0.4162315012702125,19.2087966283864,16.893693970467677,2.3151026579187217,Landon,Landon,Roosevelt
Nevada,3,0.5122574055158324,0.4924040487596167,0.2719166210545521,24.03407844612803,22.048742770506458,1.9853356756215739,Landon,Roosevelt,Roosevelt
New Hampshire,4,0.7708472873409243,0.7421169188724169,0.491041848504472,27.980543883645232,25.10750703679449,2.8730368468507415,Landon,Landon,Roosevelt
New Jersey,16,0.6798558650414793,0.6542490987640917,0.3992535079803921,28.06023570610872,25.499559078369956,2.560676627738765,Landon,Landon,Roosevelt
New Mexico,3,0.494371767569212,0.47513239855456363,0.3679394864214015,12.643228114781046,10.719291213316213,1.9239369014648329,Roosevelt,Roosevelt,Roosevelt
New York,47,0.5381097510421606,0.5173689211473684,0.3983765116301161,13.973323941204452,11.899240951725233,2.074082989479219,Landon,Landon,Roosevelt
North Carolina,13,0.2724517537995276,0.2608305736618821,0.265995492146996,0.6456261652531547,-0.5164918485113912,0.12913431674176357,Roosevelt,Roosevelt,Roosevelt
North Dakota,4,0.5368873168266801,0.5161884513071827,0.3083989334418544,22.848838338482576,20.778951786532833,2.069886551949743,Landon,Landon,Roosevelt
Ohio,26,0.6053748231966054,0.5823248819432063,0.3922980735618671,21.307674963473833,19.002680838133923,2.3049941253399098,Landon,Landon,Roosevelt
Oklahoma,11,0.4892773655859335,0.47021287992616934,0.3284976634668604,16.07797021190731,14.171521645930895,1.9064485659764152,Roosevelt,Roosevelt,Roosevelt
Oregon,5,0.5175345845448939,0.49750006996564883,0.3150840054539992,20.245057909089464,18.24160645116496,2.0034514579245055,Landon,Roosevelt,Roosevelt
Pennsylvania,36,0.5948351648351649,0.5721470346087778,0.4179331964619835,17.690196837318133,15.421383814679428,2.268813022638705,Landon,Landon,Roosevelt
Rhode Island,4,0.7488120950323974,0.7208381624260546,0.4307418291309096,31.807026590148784,29.0096333295145,2.7973932606342835,Landon,Landon,Roosevelt
South Carolina,8,0.1493055555555555,0.14191180394844838,0.0142588598109791,13.50466957445764,12.765294413746927,0.7393751607107131,Roosevelt,Roosevelt,Roosevelt
South Dakota,4,0.6530408006158583,0.6283545562061171,0.4403035153819806,21.273728523387774,18.805104082413653,2.4686244409741214,Landon,Landon,Roosevelt
Tennessee,11,0.332626548196015,0.318939655545288,0.308721183810469,2.3905364385546024,1.0218471734819046,1.3686892650726978,Roosevelt,Roosevelt,Roosevelt
Texas,23,0.2903183074069869,0.2780837946651718,0.1239015743851977,16.64167330217892,15.41822202799741,1.2234512741815085,Roosevelt,Roosevelt,Roosevelt
Utah,4,0.4333510921683537,0.4162064735221353,0.3005339826164682,13.281710955188553,11.567249090566712,1.7144618646218408,Roosevelt,Roosevelt,Roosevelt
Vermont,3,0.7465718115269615,0.7186747845705082,0.5660125605147156,18.05592510122459,15.266222405579255,2.789702695645337,Landon,Landon,Landon
Virginia,11,0.3785455084055395,0.36328228513924765,0.2950233412137431,8.352216719179644,6.825894392550458,1.5263223266291863,Roosevelt,Roosevelt,Roosevelt
Washington,8,0.5827652031633488,0.5604914170341531,0.310429110944062,27.233609221928678,25.006230609009105,2.2273786129195727,Landon,Landon,Roosevelt
West Virginia,8,0.5716677129106508,0.5497748873598618,0.392972920743049,17.869479216760176,15.68019666168128,2.189282555078897,Landon,Landon,Roosevelt
Wisconsin,12,0.6192352089708119,0.5957094609844265,0.3216963504340216,29.753885853679023,27.401311055040484,2.352574798638539,Landon,Landon,Roosevelt
Wyoming,3,0.6223207686622321,0.5986890979331376,0.382180874678137,24.013989398409507,21.650822325500062,2.3631670729094445,Landon,Landon,Roosevelt
