state,electoral_votes_total,roosevelt_votes,roosevelt_pct,roosevelt_electoral_votes,landon_votes,landon_pct,landon_electoral_votes,lemke_votes,lemke_pct,lemke_electoral_votes,thomas_votes,thomas_pct,thomas_electoral_votes,other_votes,other_pct,other_electoral_votes,margin,margin_pct,total_votes,state_abbr
Alabama,11,238136,86.38,11,35358,12.82,0,551,0.2,0,242,0.09,0,1397,0.51,0,202838,73.56,275244,AL
Arizona,3,86722,69.85,3,33433,26.93,0,3307,2.66,0,317,0.26,0,384,0.31,0,53289,42.92,124163,AZ
Arkansas,9,146765,81.8,9,32039,17.86,0,4,0,0,446,0.25,0,169,0.09,0,114726,63.94,179423,AR
California,22,1766836,66.95,22,836431,31.7,0,-,-,0,11331,0.43,0,24284,0.92,0,930405,35.26,2638882,CA
Colorado,6,295021,60.37,6,181267,37.09,0,9962,2.04,0,1593,0.33,0,841,0.17,0,113754,23.28,488684,CO
Connecticut,8,382129,55.32,8,278685,40.35,0,21805,3.16,0,5683,0.82,0,2421,0.35,0,103444,14.98,690723,CT
Delaware,3,69702,54.62,3,57236,44.85,0,442,0.35,0,172,0.13,0,51,0.04,0,12466,9.77,127603,DE
Florida,7,249117,76.1,7,78248,23.9,0,-,-,0,-,-,0,-,-,0,170869,52.2,327365,FL
Georgia,12,255364,87.1,12,36942,12.6,0,141,0.05,0,68,0.02,0,660,0.23,0,218422,74.5,293175,GA
Idaho,4,125683,62.96,4,66256,33.19,0,7678,3.85,0,-,-,0,-,-,0,59427,29.77,199617,ID
Illinois,29,2282999,57.7,29,1570393,39.69,0,89439,2.26,0,7530,0.19,0,6161,0.16,0,712606,18.01,3956522,IL
Indiana,14,934974,56.63,14,691570,41.89,0,19407,1.18,0,3856,0.23,0,1090,0.07,0,243404,14.74,1650897,IN
Iowa,11,621756,54.41,11,487977,42.7,0,29687,2.6,0,1373,0.12,0,1940,0.17,0,133779,11.71,1142733,IA
Kansas,9,464520,53.67,9,397727,45.95,0,497,0.06,0,2770,0.32,0,-,-,0,66793,7.72,865014,KS
Kentucky,11,541944,58.51,11,369702,39.92,0,12501,1.35,0,632,0.07,0,1424,0.15,0,172242,18.6,926203,KY
Louisiana,10,292894,88.82,10,36791,11.16,0,-,-,0,-,-,0,93,0,0,256103,77.66,329778,LA
