state,electoral_vote,landon,landon_1932_rep,landon_1932_dem,landon_1932_soc,landon_1932_others,landon_1932_did_not_vote,landon_1932_vote_not_indicated,roosevelt,roosevelt_1932_rep,roosevelt_1932_dem,roosevelt_1932_soc,roosevelt_1932_others,roosevelt_1932_did_not_vote,roosevelt_1932_vote_not_indicated,lemke,lemke_1932_rep,lemke_1932_dem,lemke_1932_soc,lemke_1932_others,lemke_1932_did_not_vote,lemke_1932_vote_not_indicated,thomas,browder,colvin,aiken,others_minor,minor_total,grand_total,electoral_votes_total,roosevelt_votes,roosevelt_pct,roosevelt_electoral_votes,landon_votes,landon_pct,landon_electoral_votes,lemke_votes,lemke_pct,lemke_electoral_votes,thomas_votes,thomas_pct,thomas_electoral_votes,other_votes,other_pct,other_electoral_votes,margin,margin_pct,total_votes,state_abbr,landon_share_total,roosevelt_share_total,landon_share_two_party,roosevelt_share_two_party,actual_landon_share,actual_roosevelt_share,landon_error,roosevelt_error,absolute_landon_error
Alabama,11,3060,1218,1298,3,3,412,126,10082,371,8530,50,1,736,394,68,5,49,4,0,4,6,33,3,27,0,0,63,13273,11,238136,86.38,11,35358,12.82,0,551,0.2,0,242,0.09,0,1397,0.51,0,202838,73.56,275244,AL,0.2305432080162736,0.759587131771265,0.2328412722568863,0.7671587277431137,0.1292825436755468,0.8707174563244532,0.1035587285813395,-0.10355872858133952,0.1035587285813395
Arizona,3,2337,1431,647,18,0,129,112,1975,248,1555,33,0,70,69,104,22,52,8,0,10,12,22,24,14,0,0,60,4476,3,86722,69.85,3,33433,26.93,0,3307,2.66,0,317,0.26,0,384,0.31,0,53289,42.92,124163,AZ,0.5221179624664879,0.4412421805183199,0.5419758812615956,0.4580241187384044,0.2782489284673963,0.7217510715326038,0.2637269527941993,-0.2637269527941994,0.2637269527941993
Arkansas,9,2724,1338,953,7,9,274,143,7608,228,6655,16,8,373,328,138,14,98,4,3,9,10,37,5,21,2,5,70,10540,9,146765,81.8,9,32039,17.86,0,4,0,0,446,0.25,0,169,0.09,0,114726,63.94,179423,AR,0.2584440227703984,0.7218216318785579,0.2636469221835075,0.7363530778164924,0.1791850294176864,0.8208149705823136,0.08446189276582108,-0.08446189276582117,0.08446189276582108
California,22,89516,65360,16200,315,53,3519,4069,77245,15165,53520,1816,63,3578,3103,4977,1620,2560,117,25,163,492,728,967,398,44,60,2197,173935,22,1766836,66.95,22,836431,31.7,0,-,-,0,11331,0.43,0,24284,0.92,0,930405,35.26,2638882,CA,0.5146520251818208,0.4441026820363929,0.5367921756285943,0.4632078243714058,0.32130050432783114,0.6786994956721688,0.21549167130076313,-0.21549167130076302,0.21549167130076313
Colorado,6,15949,11872,2714,131,12,637,583,10025,1747,7256,284,13,439,286,579,136,333,29,2,26,53,122,49,41,10,11,233,26786,6,295021,60.37,6,181267,37.09,0,9962,2.04,0,1593,0.33,0,841,0.17,0,113754,23.28,488684,CO,0.595422982154857,0.3742626745314716,0.614037114037114,0.3859628859628859,0.38058275665143776,0.6194172433485622,0.23345435738567627,-0.23345435738567627,0.23345435738567627
Connecticut,8,28809,22939,3376,111,7,1230,1146,13413,2584,9113,408,6,788,514,1489,245,1006,53,3,70,112,258,101,39,31,11,440,44151,8,382129,55.32,8,278685,40.35,0,21805,3.16,0,5683,0.82,0,2421,0.35,0,103444,14.98,690723,CT,0.6525107019093566,0.3037983284636814,0.682322012221117,0.317677987778883,0.42172986649798583,0.5782701335020142,0.26059214572313116,-0.26059214572313116,0.26059214572313116
Delaware,3,2918,2343,328,9,0,134,104,2048,503,1345,34,0,96,70,35,6,19,3,0,2,5,16,2,8,0,1,27,5028,3,69702,54.62,3,57236,44.85,0,442,0.35,0,172,0.13,0,51,0.04,0,12466,9.77,127603,DE,0.5803500397772474,0.4073190135242641,0.5875956504228755,0.4124043495771244,0.45089728844002586,0.5491027115599741,0.13669836198284968,-0.13669836198284974,0.13669836198284968
Florida,7,6087,3121,2051,13,5,594,303,8620,635,6924,41,0,614,406,195,37,116,6,2,12,22,58,22,31,6,2,119,15021,7,249117,76.1,7,78248,23.9,0,-,-,0,-,-,0,-,-,0,170869,52.2,327365,FL,0.4052326742560415,0.5738632581053192,0.4138845447745971,0.5861154552254029,0.2390237197012509,0.7609762802987491,0.1748608250733462,-0.17486082507334622,0.1748608250733462
Georgia,12,3948,1239,1817,5,11,708,168,12915,379,10377,42,9,1569,539,35,3,23,1,0,6,2,45,12,27,0,17,101,16999,12,255364,87.1,12,36942,12.6,0,141,0.05,0,68,0.02,0,660,0.23,0,218422,74.5,293175,GA,0.2322489558209306,0.7597505735631508,0.2341220423412204,0.7658779576587795,0.1263812579967568,0.8736187420032432,0.10774078434446357,-0.10774078434446366,0.10774078434446357
Idaho,4,3653,2672,698,9,8,103,163,2611,398,1989,30,8,89,97,224,69,109,8,11,9,18,34,3,17,1,3,58,6546,4,125683,62.96,4,66256,33.19,0,7678,3.85,0,-,-,0,-,-,0,59427,29.77,199617,ID,0.5580507179957226,0.398869538649557,0.5831736909323116,0.4168263090676883,0.34519300402732117,0.6548069959726788,0.23798068690499047,-0.23798068690499047,0.23798068690499047
Illinois,29,123297,85112,25885,573,69,6506,5152,79035,14793,54612,1542,57,4790,3241,6415,1172,4219,169,17,304,534,807,891,199,52,38,1987,210734,29,2282999,57.7,29,1570393,39.69,0,89439,2.26,0,7530,0.19,0,6161,0.16,0,712606,18.01,3956522,IL,0.5850835650630652,0.3750462668577448,0.6093796334736967,0.3906203665263033,0.40753523129751656,0.5924647687024834,0.20184440217618016,-0.20184440217618016,0.20184440217618016
